country,temperature_celsius,wind_kph,pressure_mb,humidity,cloud,uv_index,hora_local,día_del_año,CondCategoria
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin3,humidity_bin5,cloud_bin5,uv_index_bin1,hora_local_bin4,día_del_año_bin3,Lluvia
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin3,humidity_bin4,cloud_bin1,uv_index_bin1,hora_local_bin3,día_del_año_bin3,Despejado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin2,humidity_bin4,cloud_bin1,uv_index_bin1,hora_local_bin3,día_del_año_bin3,Despejado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin5,humidity_bin5,cloud_bin5,uv_index_bin1,hora_local_bin3,día_del_año_bin3,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin5,humidity_bin5,cloud_bin3,uv_index_bin1,hora_local_bin3,día_del_año_bin3,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin2,pressure_mb_bin5,humidity_bin5,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin3,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin2,humidity_bin5,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin3,Lluvia
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin3,humidity_bin5,cloud_bin5,uv_index_bin1,hora_local_bin3,día_del_año_bin3,Lluvia
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin3,humidity_bin5,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin3,Lluvia
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin3,humidity_bin5,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin3,Lluvia
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin2,humidity_bin4,cloud_bin5,uv_index_bin1,hora_local_bin3,día_del_año_bin3,Lluvia
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin2,humidity_bin5,cloud_bin3,uv_index_bin1,hora_local_bin3,día_del_año_bin3,Lluvia
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin3,humidity_bin5,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin3,Lluvia
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin2,humidity_bin5,cloud_bin3,uv_index_bin1,hora_local_bin3,día_del_año_bin3,Lluvia
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin3,humidity_bin5,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin3,Lluvia
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin3,humidity_bin5,cloud_bin3,uv_index_bin1,hora_local_bin3,día_del_año_bin3,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin3,humidity_bin4,cloud_bin2,uv_index_bin1,hora_local_bin3,día_del_año_bin3,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin3,humidity_bin5,cloud_bin2,uv_index_bin1,hora_local_bin3,día_del_año_bin3,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin2,humidity_bin5,cloud_bin2,uv_index_bin1,hora_local_bin3,día_del_año_bin3,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin2,humidity_bin5,cloud_bin2,uv_index_bin1,hora_local_bin3,día_del_año_bin3,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin3,humidity_bin5,cloud_bin5,uv_index_bin1,hora_local_bin3,día_del_año_bin3,Lluvia
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin3,humidity_bin4,cloud_bin3,uv_index_bin1,hora_local_bin3,día_del_año_bin3,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin2,humidity_bin4,cloud_bin1,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Despejado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin2,humidity_bin4,cloud_bin1,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Despejado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin3,humidity_bin4,cloud_bin1,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Despejado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin3,humidity_bin5,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Lluvia
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin3,humidity_bin5,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Lluvia
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin3,humidity_bin5,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Lluvia
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin5,humidity_bin5,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin4,wind_kph_bin1,pressure_mb_bin4,humidity_bin5,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin4,wind_kph_bin1,pressure_mb_bin4,humidity_bin4,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin5,humidity_bin5,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin2,humidity_bin5,cloud_bin5,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Lluvia
Mexico,temperature_celsius_bin3,wind_kph_bin2,pressure_mb_bin5,humidity_bin4,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin2,pressure_mb_bin5,humidity_bin4,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin5,humidity_bin4,cloud_bin1,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Despejado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin5,humidity_bin4,cloud_bin5,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin3,pressure_mb_bin5,humidity_bin3,cloud_bin5,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin4,wind_kph_bin1,pressure_mb_bin5,humidity_bin5,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin5,humidity_bin5,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin3,pressure_mb_bin5,humidity_bin5,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin2,pressure_mb_bin5,humidity_bin4,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin4,wind_kph_bin1,pressure_mb_bin5,humidity_bin4,cloud_bin5,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin5,humidity_bin5,cloud_bin5,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin3,pressure_mb_bin5,humidity_bin5,cloud_bin5,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin4,wind_kph_bin1,pressure_mb_bin4,humidity_bin5,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin4,humidity_bin5,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin4,wind_kph_bin2,pressure_mb_bin4,humidity_bin5,cloud_bin5,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin4,wind_kph_bin1,pressure_mb_bin4,humidity_bin4,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin2,humidity_bin5,cloud_bin3,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin2,humidity_bin5,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Lluvia
Mexico,temperature_celsius_bin4,wind_kph_bin1,pressure_mb_bin4,humidity_bin4,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin4,wind_kph_bin4,pressure_mb_bin4,humidity_bin4,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin5,pressure_mb_bin4,humidity_bin4,cloud_bin5,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin2,pressure_mb_bin4,humidity_bin4,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin4,wind_kph_bin2,pressure_mb_bin4,humidity_bin4,cloud_bin5,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin2,humidity_bin5,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Lluvia
Mexico,temperature_celsius_bin4,wind_kph_bin2,pressure_mb_bin4,humidity_bin5,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin4,wind_kph_bin1,pressure_mb_bin4,humidity_bin5,cloud_bin5,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin4,wind_kph_bin1,pressure_mb_bin4,humidity_bin5,cloud_bin4,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin2,humidity_bin5,cloud_bin5,uv_index_bin1,hora_local_bin3,día_del_año_bin4,Otro
Mexico,temperature_celsius_bin4,wind_kph_bin1,pressure_mb_bin4,humidity_bin5,cloud_bin5,uv_index_bin1,hora_local_bin2,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin4,wind_kph_bin1,pressure_mb_bin4,humidity_bin5,cloud_bin5,uv_index_bin1,hora_local_bin2,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin4,wind_kph_bin1,pressure_mb_bin1,humidity_bin5,cloud_bin5,uv_index_bin1,hora_local_bin2,día_del_año_bin4,Otro
Mexico,temperature_celsius_bin4,wind_kph_bin1,pressure_mb_bin4,humidity_bin4,cloud_bin4,uv_index_bin1,hora_local_bin2,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin4,wind_kph_bin1,pressure_mb_bin4,humidity_bin5,cloud_bin3,uv_index_bin1,hora_local_bin2,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin4,wind_kph_bin1,pressure_mb_bin3,humidity_bin4,cloud_bin3,uv_index_bin1,hora_local_bin2,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin4,wind_kph_bin1,pressure_mb_bin3,humidity_bin4,cloud_bin3,uv_index_bin1,hora_local_bin2,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin1,humidity_bin5,cloud_bin5,uv_index_bin1,hora_local_bin1,día_del_año_bin4,Otro
Mexico,temperature_celsius_bin4,wind_kph_bin1,pressure_mb_bin3,humidity_bin4,cloud_bin4,uv_index_bin1,hora_local_bin1,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin4,wind_kph_bin2,pressure_mb_bin3,humidity_bin4,cloud_bin4,uv_index_bin1,hora_local_bin1,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin3,humidity_bin5,cloud_bin5,uv_index_bin1,hora_local_bin1,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin3,humidity_bin5,cloud_bin5,uv_index_bin1,hora_local_bin2,día_del_año_bin4,Lluvia
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin3,humidity_bin5,cloud_bin4,uv_index_bin1,hora_local_bin2,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin4,humidity_bin5,cloud_bin5,uv_index_bin1,hora_local_bin1,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin4,humidity_bin4,cloud_bin5,uv_index_bin1,hora_local_bin1,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin2,pressure_mb_bin4,humidity_bin4,cloud_bin4,uv_index_bin1,hora_local_bin2,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin2,pressure_mb_bin4,humidity_bin5,cloud_bin5,uv_index_bin1,hora_local_bin1,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin4,humidity_bin3,cloud_bin3,uv_index_bin1,hora_local_bin1,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin2,wind_kph_bin1,pressure_mb_bin2,humidity_bin5,cloud_bin5,uv_index_bin1,hora_local_bin1,día_del_año_bin4,Otro
Mexico,temperature_celsius_bin2,wind_kph_bin1,pressure_mb_bin3,humidity_bin4,cloud_bin5,uv_index_bin1,hora_local_bin1,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin4,humidity_bin5,cloud_bin5,uv_index_bin1,hora_local_bin1,día_del_año_bin4,Lluvia
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin5,humidity_bin5,cloud_bin4,uv_index_bin1,hora_local_bin1,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin4,humidity_bin4,cloud_bin5,uv_index_bin1,hora_local_bin1,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin2,humidity_bin5,cloud_bin5,uv_index_bin1,hora_local_bin1,día_del_año_bin4,Otro
Mexico,temperature_celsius_bin2,wind_kph_bin1,pressure_mb_bin3,humidity_bin5,cloud_bin5,uv_index_bin1,hora_local_bin1,día_del_año_bin4,Otro
Mexico,temperature_celsius_bin1,wind_kph_bin1,pressure_mb_bin5,humidity_bin5,cloud_bin1,uv_index_bin1,hora_local_bin1,día_del_año_bin4,Despejado
Mexico,temperature_celsius_bin2,wind_kph_bin2,pressure_mb_bin5,humidity_bin3,cloud_bin1,uv_index_bin1,hora_local_bin1,día_del_año_bin4,Despejado
Mexico,temperature_celsius_bin2,wind_kph_bin1,pressure_mb_bin5,humidity_bin5,cloud_bin1,uv_index_bin1,hora_local_bin1,día_del_año_bin4,Despejado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin5,humidity_bin4,cloud_bin3,uv_index_bin1,hora_local_bin1,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin2,wind_kph_bin1,pressure_mb_bin3,humidity_bin5,cloud_bin5,uv_index_bin1,hora_local_bin1,día_del_año_bin4,Otro
Mexico,temperature_celsius_bin2,wind_kph_bin1,pressure_mb_bin5,humidity_bin5,cloud_bin2,uv_index_bin1,hora_local_bin1,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin2,wind_kph_bin2,pressure_mb_bin5,humidity_bin4,cloud_bin2,uv_index_bin1,hora_local_bin1,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin2,wind_kph_bin1,pressure_mb_bin4,humidity_bin5,cloud_bin2,uv_index_bin1,hora_local_bin1,día_del_año_bin4,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin2,pressure_mb_bin3,humidity_bin5,cloud_bin5,uv_index_bin1,hora_local_bin1,día_del_año_bin4,Otro
Mexico,temperature_celsius_bin2,wind_kph_bin2,pressure_mb_bin4,humidity_bin5,cloud_bin5,uv_index_bin1,hora_local_bin1,día_del_año_bin5,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin2,pressure_mb_bin5,humidity_bin5,cloud_bin5,uv_index_bin1,hora_local_bin1,día_del_año_bin5,Nublado
Mexico,temperature_celsius_bin3,wind_kph_bin1,pressure_mb_bin5,humidity_bin5,cloud_bin4,uv_index_bin1,hora_local_bin1,día_del_año_bin5,Nublado
